x, y
-20.52432860361732, 1.3915682122525448
-12.027282138724804, 2.731973112214944
-2.9766762072955366, 4.034328761882145
3.629498812496191, 4.907245057489462
10.696059923268983, 5.918136061691503
17.45387004445527, 6.790498242003259
25.828512270872658, 7.90851820334712
33.315267036112296, 8.88523876432289
43.60087692588758, 10.219917806231159
51.44753669082273, 11.308939067107321
61.166798611534006, 12.582111311208301
69.54692162474879, 13.582658829893202
82.67523293343888, 15.289149235122995
93.1709396504476, 16.53073690737699
98.55307228548808, 17.224119847222497
