x, y
0, 0
1.7229312992472874, 1.1109131468706517
3.334592049945875, 1.9835231581349804
4.783626614304056, 2.9447753392182703
6.082622158447247, 3.8744873994124878
7.6142285325881724, 4.93922416014489
8.956020441557786, 6.0794098375138965
10.337084308838708, 7.102711537470459
11.515746544822898, 8.110552393853947
12.603781184704076, 9.044593490248625
13.606223094932407, 10.077790130091955
14.594567379100269, 11.145206770377023
15.787327241144927, 12.443505341353339
16.647785917478537, 13.591524512799369
17.667849860282455, 14.936411759075883
18.480980791984493, 16.151634063919545
19.12846461747602, 17.157207329912314
19.829821513984342, 18.367276020231618
20.755733454170127, 19.76988374918094
21.48427862950935, 21.38275895072408
22.214837751428643, 22.84370559608914
23.20670644211162, 24.603149594705027
23.640208443471035, 25.894439249928215
24.307831734763234, 27.791587828634952
