x, y
2.1962087455630237, 0.5479322962297628
5.9562470105480445, 1.5347464053538693
10.934219469828562, 3.051145943001023
15.137325982428315, 4.46241174435127
18.20507011051532, 5.611049349540224
21.600584044508217, 6.8893518961620295
24.548498351081236, 8.109933960111023
27.540215995770712, 9.527590243471474
30.775621176648286, 11.23219978354819
33.821211892354555, 13.033697276682839
36.77869244518289, 14.903222481539016
39.098758905420034, 16.477548646439956
41.45709035067845, 18.11825336641463
43.75399642524482, 19.9669579685924
46.1113208972132, 21.842049077134885
48.63076806887697, 23.914214405088824
50.94026130956876, 25.96164238332585
53.09568763688543, 27.991960361342
